step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
89,81092,356,0.01372327479046362,0.25,0.25,0.03059750739740112,0.5,0.5,,,,,,
90,82344,360,0.012438703793116079,0.75,0.75,,,,,,,,,
91,83308,364,0.02203428702276021,1.0,1.0,,,,,,,,,
92,83696,368,0.029903373282249956,0.75,0.75,,,,,,,,,
93,84788,372,0.0161152420743563,1.0,1.0,,,,,,,,,
94,85752,376,0.021343734273185574,1.0,1.0,,,,,,,,,
95,87004,380,0.01333901134183634,0.5,0.5,,,,,,,,,
96,88192,384,0.014920076753352768,0.75,0.75,,,,,,,,,
97,89252,388,0.018223051387057047,0.5,0.5,0.034363243564671846,0.75,0.75,,,,,,
98,90472,392,0.009159175024476792,1.0,1.0,,,,,,,,,
99,91596,396,0.014747433335684557,0.75,0.75,,,,,,,,,
100,92848,400,0.012793658872421813,0.75,0.75,,,,,,,,,
101,94100,404,0.013705390497680332,0.5,0.5,,,,,,,,,
102,95352,408,0.011164344423709619,0.75,0.75,,,,,,,,,
103,96604,412,0.013049090373946432,1.0,1.0,,,,,,,,,
104,97824,416,0.009131564897469927,1.0,1.0,,,,,,,,,
105,98276,420,0.03121480755966071,0.5,0.5,0.015213308119195338,0.5,0.5,,,,,,
106,99496,424,0.011124680197502275,0.75,0.75,,,,,,,,,
107,100396,428,0.016001657636420533,1.0,1.0,,,,,,,,,
108,100880,432,0.01721856417019323,1.0,1.0,,,,,,,,,
109,101140,436,0.025016714031750664,1.0,1.0,,,,,,,,,
110,102104,440,0.017044624010373658,0.75,0.75,,,,,,,,,
111,102972,444,0.021907489273699968,0.75,0.75,,,,,,,,,
112,103840,448,0.019366026286022842,0.5,0.5,,,,,,,,,
113,104100,452,0.051224510437159546,0.5,0.5,0.021455540871819334,1.0,1.0,,,,,,
114,105192,456,0.01605867297104102,1.0,1.0,,,,,,,,,
115,106316,460,0.014289706902332958,1.0,1.0,,,,,,,,,
116,107440,464,0.015243445924619405,1.0,1.0,,,,,,,,,
117,108308,468,0.020532223800546912,0.25,0.25,,,,,,,,,
118,109560,472,0.011149335259955281,0.75,0.75,,,,,,,,,
119,110364,476,0.02092662943528194,0.75,0.75,,,,,,,,,
120,111328,480,0.026380409730017772,0.75,0.75,,,,,,,,,
121,112100,484,0.02926615436394248,0.25,0.25,0.012153222375670434,0.5,0.5,,,,,,
122,112968,488,0.01823470256115141,1.0,1.0,,,,,,,,,
123,113388,492,0.030710123165811707,1.0,1.0,,,,,,,,,
124,114608,496,0.009049154466783291,0.75,0.75,,,,,,,,,
125,115828,500,0.013089046438086479,0.75,0.75,,,,,,,,,
126,116440,504,0.023845835662779886,0.75,0.75,,,,,,,,,
127,117340,508,0.014507383482160432,0.75,0.75,,,,,,,,,
128,118624,512,0.015899078697328036,1.0,1.0,,,,,,,,,
129,118852,516,0.03507255383917903,1.0,1.0,0.0301862835973787,0.75,0.75,,,,,,
130,119336,520,0.020164616895929306,1.0,1.0,,,,,,,,,
131,120204,524,0.02211293579199938,0.25,0.25,,,,,,,,,
132,121040,528,0.011244141187340014,1.0,1.0,,,,,,,,,
133,121972,532,0.019420073929794328,0.25,0.25,,,,,,,,,
134,123192,536,0.01656570176079281,0.75,0.75,,,,,,,,,
135,123548,540,0.03270629577111157,0.75,0.75,,,,,,,,,
136,124608,544,0.017084464865759978,0.75,0.75,,,,,,,,,
137,125508,548,0.015202255620974938,0.75,0.75,0.01357348399375466,1.0,1.0,,,,,,
138,126280,552,0.0177984615762792,1.0,1.0,,,,,,,,,
139,126572,556,0.026211686597170127,1.0,1.0,,,,,,,,,
140,127760,560,0.015361888681503398,0.75,0.75,,,,,,,,,
141,128660,564,0.019878354606916313,1.0,1.0,,,,,,,,,
142,129912,568,0.011542053805927795,0.75,0.75,,,,,,,,,
143,131132,572,0.012689098021721568,1.0,1.0,,,,,,,,,
144,132128,576,0.017543261330704208,0.5,0.5,,,,,,,,,
145,133348,580,0.01649834201660772,0.75,0.75,0.018346987052476896,0.75,0.75,,,,,,
146,134280,584,0.014938568687125084,0.75,0.75,,,,,,,,,
147,135244,588,0.0167660155770832,0.5,0.5,,,,,,,,,
148,136336,592,0.008616745901202275,1.0,1.0,,,,,,,,,
149,137492,596,0.01456739338884189,1.0,1.0,,,,,,,,,
150,137912,600,0.028391849985318216,0.75,0.75,,,,,,,,,
151,138876,604,0.02109091480265761,1.0,1.0,,,,,,,,,
152,139744,608,0.01293471427304852,0.75,0.75,,,,,,,,,
153,140708,612,0.01419756501389444,0.75,0.75,0.013406162240007688,0.75,0.75,,,,,,
154,141608,616,0.012008132060422958,0.5,0.5,,,,,,,,,
155,142828,620,0.01565245894508208,0.5,0.5,,,,,,,,,
156,143312,624,0.027831738029599366,0.5,0.5,,,,,,,,,
157,144404,628,0.01612199208324241,0.5,0.5,,,,,,,,,
158,145560,632,0.012291820056635204,1.0,1.0,,,,,,,,,
159,146748,636,0.01852943898279548,0.75,0.75,,,,,,,,,
160,147584,640,0.01774427898396915,1.0,1.0,,,,,,,,,
161,148324,644,0.013675404478572288,0.5,0.5,0.01812452995355793,0.5,0.5,,,,,,
162,148648,648,0.02751754685502465,1.0,1.0,,,,,,,,,
163,149900,652,0.009248591191052705,1.0,1.0,,,,,,,,,
164,150320,656,0.02962719744131181,0.75,0.75,,,,,,,,,
165,151572,660,0.017167175438170458,1.0,1.0,,,,,,,,,
166,152664,664,0.010513272097555005,0.75,0.75,,,,,,,,,
167,153596,668,0.015107251700882413,0.75,0.75,,,,,,,,,
168,155264,672,0.010898938127784539,1.0,1.0,,,,,,,,,
169,156484,676,0.015624864145866583,1.0,1.0,0.01912575229818657,1.0,1.0,,,,,,
170,157704,680,0.010991301994264657,0.75,0.75,,,,,,,,,
